,car_name,engineSize,year,mileage,price,link
750,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975409
751,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975388
752,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975360
753,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2975331
754,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975310
755,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2975285
756,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975270
757,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2975241
758,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975210
759,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975162
760,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975125
761,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2975123
762,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975074
763,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975038
764,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2974990
765,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2974799
766,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2974782
767,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2974720
768,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2974700
769,FORD FOCUS 1.5 ST-LINE TDCI 5d 118 BHP,1.5,2017,33000,10199,www.theaa.com/used-cars/cardetails/59-663811
770,FORD FOCUS 1.0 ST-LINE 5d 139 BHP,1.0,2018,31639,9991,www.theaa.com/used-cars/cardetails/59-663807
771,FORD FOCUS 1.0 ZETEC 5DR 1OWNER AUTO 123 BHP FULL SERVICE HISTORY + ,1.0,2019,33191,11480,www.theaa.com/used-cars/cardetails/59-663758
772,FORD FOCUS 1.0 ST-LINE 5DR 1 OWNER 124 BHP + SAT NAV + FULL SERVICE HISTORY,1.0,2019,32253,11940,www.theaa.com/used-cars/cardetails/59-663754
773,FORD FOCUS 1.5 ST-LINE X TDCI 5DR 1 OWNER AUTO 119 BHP + FULL SERVICE HISTO,1.5,2018,39532,13940,www.theaa.com/used-cars/cardetails/59-663752
774,Ford Focus 1.5 EcoBoost 182 ST-Line X 5dr Petrol Hatchback,1.5,2019,3973,17500,www.theaa.com/used-cars/cardetails/39-946729
775,Ford Focus 1.0 EcoBoost 125 Zetec Edition 5dr Petrol Hatchback,1.0,2018,23864,9600,www.theaa.com/used-cars/cardetails/39-946586
776,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr Petrol Hatchback,1.0,2019,15555,14000,www.theaa.com/used-cars/cardetails/39-946525
777,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr Petrol Hatchback,1.0,2018,21409,11700,www.theaa.com/used-cars/cardetails/39-946514
778,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr Petrol Hatchback,1.0,2019,11117,14495,www.theaa.com/used-cars/cardetails/39-946500
779,Ford Focus 2.0 TDCi Titanium X 5dr Powershift Diesel Estate,2.0,2018,25205,12300,www.theaa.com/used-cars/cardetails/39-946493
780,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Auto Petrol Hatchback,1.0,2017,15535,10500,www.theaa.com/used-cars/cardetails/39-946484
781,Ford Focus 1.0 EcoBoost 125 5 door,1.0,2020,1772,21948,www.theaa.com/used-cars/cardetails/50-55422
